化合物,英文名,化学式,SMILES,分子量,DENSITY,CALORICITY,MELTING,,气相能量(Hartree),液相能量,△Gsol,x1,cavity surface area,SASA*T(x2),蒸发焓(KJ/mol),蒸发焓(Kcal/mol),C原子数,H原子数,气相能量(Kcal/mol),燃烧焓(kcal/mol),O2 needed(mol),O2校正后(kcal/mol)
异戊烷,isopantane,C5H12,CCC(C)C,72,0.62,46.68 ,-159.9,,-197.499,-197.504,-0.005,-3.1376 ,130.08,38783.352,43.6733 ,10.4382 ,5,12,-123932.59749,-651.964 ,8,-802.824 
己烷,hexane,C6H14,CCCCCC,86,0.6606,46.41 ,-95.27,,-236.903,-236.962338,-0.059338,-37.2352 ,154.28,45998.582,42.1936 ,10.0845 ,6,14,-148659.00153,-691.439 ,9.5,-953.446 
庚烷,heptane,C7H16,CCCCCCC,100,0.6795,46.26 ,-90.549,,-276.192,-276.258,-0.066,-41.4157 ,173.084,51604.9946,46.7340 ,11.1697 ,7,16,-173313.24192,-801.638 ,11,-1105.198 
正辛烷,octane,C8H18,CCCCCCCC,114,0.6986,46.16 ,-56.73,,-315.474,-315.55367,-0.07967,-49.9937 ,194.338,57941.8747,50.8835 ,12.1615 ,8,18,-197963.08974,-916.324 ,12.5,-1257.023 
正壬烷,nontane,C9H20,CCCCCCCCC,128,0.7192,46.07 ,-53.47,,-354.761,-354.849,-0.088,-55.2209 ,214.027,63812.15005,55.4208 ,13.2459 ,9,20,-222616.07511,-1027.779 ,14,-1408.795 
癸烷,decane,C10H22,CCCCCCCCCC,142,0.7266,46.00 ,-29.61,,-394.053,-394.145,-0.092,-57.7309 ,237.164,70710.4466,61.6791 ,14.7417 ,10,22,-247272.19803,-1135.685 ,15.5,-1560.511 
十一烷,undecane,C11H24,CCCCCCCCCCC,156,0.7402,45.95 ,-25.54,,-433.334,-433.4406,-0.1066,-66.8926 ,254.97,76019.3055,64.6517 ,15.4521 ,11,24,-271921.41834,-1251.280 ,17,-1712.350 
十二烷,dodecane,C12H26,CCCCCCCCCCCC,170,0.7495,45.90 ,-9.55,,-472.626,-472.7363,-0.1103,-69.2144 ,274.85,81946.5275,69.9869 ,16.7273 ,12,26,-296577.54126,-1359.406 ,18.5,-1864.070 
十三烷,tridecane,C13H28,CCCCCCCCCCCCC,184,0.7564,45.86 ,-5.35,,-511.913,-512.032,-0.119,-74.6737 ,295.914,88226.7591,74.8750 ,17.8956 ,13,28,-321230.52663,-1470.778 ,20,-2015.841 
十四烷,tetradecane,C14H30,CCCCCCCCCCCCCC,198,0.7596,45.83 ,5.87,,-551.2,-551.3276,-0.1276,-80.0703 ,316.402,94335.2563,79.6073 ,19.0266 ,14,30,-345883.512,-1582.186 ,21.5,-2167.613 
环戊烷,cyclopentane,C5H10,C1CCCC1,70.14,0.7457,44.91 ,-93.4,,-196.315,-196.32,-0.005,-3.1376 ,113.917,33964.35355,38.8543 ,9.2864 ,5,10,-123189.62565,-628.713 ,7.5,-752.456 
甲基环戊烷,Methylcyclopentane ,C6H12,CC1CCCC1,84.16,0.7486,44.98 ,-142.42,,-235.583,-235.589,-0.006,-3.7651 ,133.618,39838.2067,44.5681 ,10.6520 ,6,12,-147830.68833,-751.810 ,9,-904.415 
乙基环戊烷,ethylcyclopentane,C7H14,CCC1CCCC1,98.19,0.7665,44.97 ,-138.42,,-274.999,-275.0563,-0.0573,-35.9563 ,153.451,45751.41565,42.2726 ,10.1034 ,7,14,-172564.62249,-783.949 ,10.5,-1054.919 
正丙基环戊烷,Propylcyclopentane,C8H16,CCCC1CCCC1,112.22,0.7763,45.07 ,-117.3,,-314.115,-314.122,-0.007,-4.3926 ,173.335,51679.83025,56.2497 ,13.4440 ,8,16,-197110.30365,-1000.452 ,12,-1208.372 
异丙基环戊烷,Isopropylcyclopentane,C8H16,CC(C)C1CCCC1,112.22,0.7765,45.07 ,-111.4,,,,,,,,,,,,,,,
丙烯环戊烷,Allycyclopentane,C8H14,C=CCC1CCCC1,110.197,0.793,44.00 ,-110.7,,-312.91,-312.917,-0.007,-4.3926 ,168.887,50353.65905,54.9236 ,13.1271 ,8,14,-196354.1541,-989.544 ,11.5,-1158.201 
"1,1二甲基环戊烷","1,1-Dimethylcyclopentane",C7H14,CC1(C)CCCC1,98.186,0.7499,45.04 ,-69.8,,-274.853,-274.859,-0.006,-3.7651 ,151.439,45151.53785,49.8814 ,11.9220 ,7,14,-172473.00603,-873.747 ,10.5,-1056.355 
"1,2二甲基环戊烷","1,2-Dimethylcyclopentane",C7H14,CC1C(C)CCC1,98.186,0.768,45.04 ,-54,,,,,,,,,,,,,,,
"1,3二甲基环戊烷","1,3-Dimethylcyclopentane",C7H14,CC1CC(C)CC1,98.186,0.7402,45.04 ,-133.7,,-274.852,-274.858,-0.006,-3.7651 ,153.235,45687.01525,50.4169 ,12.0499 ,7,14,-172472.37852,-874.247 ,10.5,-1056.363 
1-甲基-1-乙基环戊烷,1-ethyl-1-methylcyclopentane,C8H16,CC1(CC)CCCC1,112.22,0.7767,45.07 ,-143.8,,-314.118,-314.124,-0.006,-3.7651 ,167.872,50051.0368,54.7809 ,13.0930 ,8,16,-197112.18618,-998.921 ,12,-1208.348 
1-甲基-2-乙基环戊烷,1-Ethyl-2-methylcyclopentane,C8H16,CC1CCCC1CC,112.220,0.7852,45.07 ,-106,,,,,,,,,,,,,,,
"1,1,2-三甲基环戊烷","1,1,2-Trimethylcyclopentane",C8H16,CC1(C)C(C)CCC1,112.220,0.766,45.07 ,-21.6,,-314.12,-314.126,-0.006,-3.7651 ,166.708,49703.9902,54.4339 ,13.0100 ,8,16,-197113.4412,-997.749 ,12,-1208.329 
"1,1,3,3-四甲基环戊烷","1,1,3,3-Tetramethylcyclopentane",C9H18,CC1(C)CC(C)(C)CC1,126.240,0.7469,45.10 ,-88.4,,-353.391,-353.397,-0.006,-3.7651 ,187.886,56018.2109,60.7481 ,14.5192 ,9,18,-221756.38641,-1118.819 ,13.5,-1360.256 
正丁基环戊烷,Butylcyclopentane,C9H18,CCCCC1CCCC1,126.239,0.7846,45.11 ,-108,,-353.381,-353.389,-0.008,-5.0201 ,194.81,58082.6015,62.4925 ,14.9361 ,9,18,-221750.11131,-1124.678 ,13.5,-1360.349 
异丁基环戊烷,Isobutylcyclopentane,C9H18,CC(C)CC1CCCC1,126.240,0.7769,45.11 ,-115.2,,,,,,,,,,,,,,,
