___	___	___	SMILES	___	__	__	__(MJ/Kg)	___		____(Hartree)	____	_Gsol	x1	cavity surface area	SASA*T(x2)	___(KJ/mol)	___(Kcal/mol)	C___	H___	____(Kcal/mol)	___(kcal/mol)	O2 needed(mol)	O2___(kcal/mol)
___	isopantane	C5H12	CCC(C)C	72		0.62	46.68 	-159.9		-197.499	-197.504	-0.005	-3.1375 	130.08	38783.352	43.6733 	10.43817114	5	12	-123932.5975	-651.964 	8	-802.824 
__	hexane	C6H14	CCCCCC	86		0.6606	46.41 	-95.27		-236.903	-236.962338	-0.059338	-37.2352 	154.28	45998.582	42.1936 	10.0845218	6	14	-148659.0015	-691.439 	9.5	-953.446 
__	heptane	C7H16	CCCCCCC	100		0.6795	46.26 	-90.549		-276.192	-276.258	-0.066	-41.4157 	173.084	51604.9946	46.7340 	11.16970239	7	16	-173313.2419	-801.638 	11	-1105.198 
___	octane	C8H18	CCCCCCCC	114		0.6986	46.16 	-56.73		-315.474	-315.55367	-0.07967	-49.9937 	194.338	57941.8747	50.8835 	12.16145128	8	18	-197963.0897	-916.324 	12.5	-1257.023 
___	nontane	C9H20	CCCCCCCCC	128		0.7192	46.07 	-53.47		-354.761	-354.849	-0.088	-55.2209 	214.027	63812.15005	55.4208 	13.24590473	9	20	-222616.0751	-1027.779 	14	-1408.795 
__	decane	C10H22	CCCCCCCCCC	142		0.7266	46.00 	-29.61		-394.053	-394.145	-0.092	-57.7309 	237.164	70710.4466	61.6791 	14.74166019	10	22	-247272.198	-1135.685 	15.5	-1560.511 
___	undecane	C11H24	CCCCCCCCCCC	156		0.7402	45.95 	-25.54		-433.334	-433.4406	-0.1066	-66.8926 	254.97	76019.3055	64.6517 	15.45213851	11	24	-271921.4183	-1251.280 	17	-1712.350 
___	dodecane	C12H26	CCCCCCCCCCCC	170		0.7495	45.90 	-9.55		-472.626	-472.7363	-0.1103	-69.2144 	274.85	81946.5275	69.9869 	16.72727478	12	26	-296577.5413	-1359.406 	18.5	-1864.070 
___	tridecane	C13H28	CCCCCCCCCCCCC	184		0.7564	45.86 	-5.35		-511.913	-512.032	-0.119	-74.6737 	295.914	88226.7591	74.8750 	17.89555971	13	28	-321230.5266	-1470.778 	20	-2015.841 
___	tetradecane	C14H30	CCCCCCCCCCCCCC	198		0.7596	45.83 	5.87		-551.2	-551.3276	-0.1276	-80.0703 	316.402	94335.2563	79.6073 	19.02662357	14	30	-345883.512	-1582.186 	21.5	-2167.613 
																							
___	cyclopentane	C5H10	C1CCCC1	70.14		0.7457	44.91 	-93.4		-196.315	-196.32	-0.005	-3.1375 	113.917	33964.35355	38.8543 	9.286402046	5	10	-123189.6257	-628.713 	7.5	-752.456 
_____	Methylcyclopentane 	C6H12	CC1CCCC1	84.16		0.7486	44.98 	-142.42		-235.583	-235.589	-0.006	-3.7651 	133.618	39838.2067	44.5681 	10.65204311	6	12	-147830.6883	-751.810 	9	-904.415 
_____	ethylcyclopentane	C7H14	CCC1CCCC1	98.19		0.7665	44.97 	-138.42		-274.999	-275.0563	-0.0573	-35.9563 	153.451	45751.41565	42.2726 	10.10338996	7	14	-172564.6225	-783.949 	10.5	-1054.919 
______	Propylcyclopentane	C8H16	CCCC1CCCC1	112.22		0.7763	45.07 	-117.3		-314.115	-314.122	-0.007	-4.3926 	173.335	51679.83025	56.2497 	13.44401655	8	16	-197110.3037	-1000.452 	12	-1208.372 
______	Isopropylcyclopentane	C8H16	CC(C)C1CCCC1	112.22		0.7765	45.07 	-111.4															
_____	Allycyclopentane	C8H14	C=CCC1CCCC1	110.197		0.793	44.00 	-110.7		-312.91	-312.917	-0.007	-4.3926 	168.887	50353.65905	54.9236 	13.1270538	8	14	-196354.1541	-989.544 	11.5	-1158.201 
"1,1______"	"1,1-Dimethylcyclopentane"	C7H14	CC1(C)CCCC1	98.186		0.7499	45.04 	-69.8		-274.853	-274.859	-0.006	-3.7651 	151.439	45151.53785	49.8814 	11.92196064	7	14	-172473.006	-873.747 	10.5	-1056.355 
"1,2______"	"1,2-Dimethylcyclopentane"	C7H14	CC1C(C)CCC1	98.186		0.768	45.04 	-54															
"1,3______"	"1,3-Dimethylcyclopentane"	C7H14	CC1CC(C)CC1	98.186		0.7402	45.04 	-133.7		-274.852	-274.858	-0.006	-3.7651 	153.235	45687.01525	50.4169 	12.0499429	7	14	-172472.3785	-874.247 	10.5	-1056.363 
1-__-1-_____	1-ethyl-1-methylcyclopentane	C8H16	CC1(CC)CCCC1	112.22		0.7767	45.07 	-143.8		-314.118	-314.124	-0.006	-3.7651 	167.872	50051.0368	54.7809 	13.09296983	8	16	-197112.1862	-998.921 	12	-1208.348 
1-__-2-_____	1-Ethyl-2-methylcyclopentane	C8H16	CC1CCCC1CC	112.220		0.7852	45.07 	-106															
"1,1,2-______"	"1,1,2-Trimethylcyclopentane"	C8H16	CC1(C)C(C)CCC1	112.220		0.766	45.07 	-21.6		-314.12	-314.126	-0.006	-3.7651 	166.708	49703.9902	54.4339 	13.01002364	8	16	-197113.4412	-997.749 	12	-1208.329 
"1,1,3,3-______"	"1,1,3,3-Tetramethylcyclopentane"	C9H18	CC1(C)CC(C)(C)CC1	126.240		0.7469	45.10 	-88.4		-353.391	-353.397	-0.006	-3.7651 	187.886	56018.2109	60.7481 	14.51915969	9	18	-221756.3864	-1118.819 	13.5	-1360.256 
______	Butylcyclopentane	C9H18	CCCCC1CCCC1	126.239		0.7846	45.11 	-108		-353.381	-353.389	-0.008	-5.0201 	194.81	58082.6015	62.4925 	14.93607216	9	18	-221750.1113	-1124.678 	13.5	-1360.349 
______	Isobutylcyclopentane	C9H18	CC(C)CC1CCCC1	126.240		0.7769	45.11 	-115.2															
___	clohexane	C6H12	C1CCCCC1	84.16		0.7739	44.92 	6.7		-235.719	-235.77	-0.051	-32.0030 	130.515	38913.04725	36.4423 	8.709920131	6	12	-147916.0297	-668.410 	9	-903.081 
_____	methylcyclohexane	C7H14	CC1CCCCC1	98.19		0.7694	44.97 	-126.6		-275.005	-275.0681	-0.0631	-39.5959 	149.332	44523.3358	40.1164 	9.588053277	7	14	-172568.3876	-780.699 	10.5	-1054.867 
_____	ethylcyclohexane	C8H16	CCC1CCCCC1	112.22		0.788	45.01 	-111.28		-314.292	-314.3627	-0.0707	-44.3650 	167.565	49959.50475	44.3364 	10.59667125	8	16	-197221.3729	-892.230 	12	-1206.641 
"1,3-______"	"1,3-Dimethylcyclohexane"	C8H16	CC1CC(C)CCC1	112.22		0.766	45.01 	-75.51		-314.293	-314.3659	-0.0729	-45.7455 	167.731	50008.99765	44.0339 	10.52436235	8	16	-197222.0004	-891.675 	12	-1206.632 
_____	propylcyclohexane	C9H18	CCCC1CCCCC1	126.24		0.7936	45.04 	-94.86		-353.577	-353.6582	-0.0812	-50.9538 	188.205	56113.32075	48.8101 	11.66590193	9	18	-221873.1033	-1004.956 	13.5	-1358.434 
"1,2,4-______"		C9H18	CC1C(C)CC(C)CC1	126.24		0.79	45.10 	-86.3		-353.3975	-353.404	-0.0065	-4.0788 	187.379	55867.04885	60.5170 	14.4639088	9	18	-221760.4652	-1114.796 	13.5	-1360.191 
______	n-butylcyclohexane	C10H20	CCCCC1CCCCC1	140.27		0.7902	45.07 	-74.68		-392.867	-392.9539	-0.0869	-54.5306 	209.982	62606.1333	54.3908 	12.9997286	10	20	-246527.9712	-1114.279 	15	-1510.172 
1-__-2-_____	1-methyl-2-propylcyclohexane	C10H20	CC1C(CCC)CCCC1	140.27		0.777	45.13 	-84.33															
1-__-1-___	1-methyl-1-cyclohexene	C7H12	CC1=CCCCC1	96.17		0.811	43.79 	-119.4		-273.661	-273.668	-0.007	-4.3926 	145.079	43255.30385	47.8252 	11.43050497	7	12	-171725.0141	-854.855 	10	-1006.057 
																							
_	benzene	C6H6	C1=CC=CC=C1	78.11		0.8765	40.30 	5.5		-232.163	-232.151329	0.011671	7.3237 	112.338	33493.5747	41.0511 	9.811457883	6	6	-145684.6041	-596.609 	7.5	-751.942 
__	toluene	C7H8	CC1=CC=CC=C1	92.14		0.8623	41.06 	-95		-271.444	-271.4505	-0.0065	-4.0788 	132.565	39524.25475	44.1742 	10.55788446	7	8	-170333.8244	-712.168 	9	-903.781 
_-____	"1,2-dimethylbenzene (o-xylene)"	C8H10	CC1=CC=CC=C1C	106.17		0.8755	41.62 	-25.16		-310.734	-310.7507	-0.0167	-10.4794 	150.433	44851.59895	47.8693 	11.44105687	8	10	-194988.6923	-821.942 	10.5	-1055.527 
_-____			CC1=CC=CC(C)=C1			0.868	41.62 	-47.85															
1-__-4-___	4-Ethyltoluene	C9H12	CC1=CC=C(CC)C=C1	120.2		0.8614	42.10 	-62.35		-349.8496	-349.859	-0.0094	-5.8986 	171.659	51180.13085	55.3660 	13.23279854	9	12	-219534.1225	-1040.245 	12	-1209.009 
____	n-propylbenzene	C9H12	CCCC1=CC=CC=C1	120.2		0.8593	42.05 	-99.5		-350.016	-350.0422	-0.0262	-16.4408 	173.48	51723.062	53.2207 	12.72005398	9	12	-219638.5402	-936.340 	12	-1207.346 
